City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Constitucion,CL,-35.3333,-72.4167,51.48,76,37,14.41,scattered clouds
306,Mandan,US,46.8267,-100.8896,87.78,30,1,8.05,clear sky
307,Great Yarmouth,GB,52.6083,1.7305,61.05,82,59,10.31,broken clouds
308,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.04,42,69,3.15,broken clouds
309,Upernavik,GL,72.7868,-56.1549,24.21,65,0,3.91,clear sky
310,Port Moresby,PG,-9.4431,147.1797,81.82,78,40,11.5,haze
311,Port Lincoln,AU,-34.7333,135.8667,61.3,53,67,15.84,broken clouds
312,Iqaluit,CA,63.7506,-68.5145,35.33,80,90,21.0,overcast clouds
313,Zhuji,CN,29.7188,120.2423,72.9,79,12,1.74,few clouds
314,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.83,98,67,3.27,moderate rain
315,Skjervoy,NO,70.0311,20.9714,50.92,80,100,8.12,overcast clouds
316,Romny,UA,50.751,33.4747,44.56,90,6,9.1,clear sky
317,Flinders,AU,-34.5833,150.8552,58.17,80,100,1.01,overcast clouds
318,Barrhead,GB,55.7992,-4.3929,55.76,92,100,1.01,light rain
319,Eyl,SO,7.9803,49.8164,79.36,75,76,13.65,broken clouds
320,Kangaatsiaq,GL,68.3065,-53.4641,23.68,52,0,9.44,clear sky
321,Banepa,NP,27.6298,85.5214,64.72,100,75,0.0,broken clouds
322,Korla,CN,41.7597,86.1469,59.94,28,0,5.32,clear sky
323,Fortuna Foothills,US,32.6578,-114.4119,93.29,29,20,5.99,few clouds
324,San Cristobal,VE,7.7669,-72.225,71.42,76,80,4.27,broken clouds
325,Freeport,US,40.6576,-73.5832,72.99,45,1,5.99,clear sky
326,Maniitsoq,GL,65.4167,-52.9,32.31,55,0,5.95,clear sky
327,Coari,BR,-4.085,-63.1414,75.51,88,80,1.7,light rain
328,Sur,OM,22.5667,59.5289,82.89,67,6,10.6,clear sky
